round_id,server_seed,client_seed,nonce,combined_hash,hex52,r_ratio,crash_multiplier,instant_crash,house_edge
1,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,1,df087197c988acd391338c6f20e8d9d26c247e54da854de5170e9532cfbab851,df087197c988a,0.87122259,7.53,0,0.03
2,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,2,30c022f6953dd11b1c7762b7fb016d3c714d164576e2a342b10b7c05b521520c,30c022f6953dd,0.19043177,1.19,0,0.03
3,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,3,cee4562b5a31396e40f8acd27ca5f353af3375975bf4056923543b0a24bcf89e,cee4562b5a313,0.80817164,5.05,0,0.03
4,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,4,32a3a9c69c7820d65def611354f1d12d819464ac23a3516a123160f431ef6bab,32a3a9c69c782,0.19780980,1.20,0,0.03
5,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,5,40d3a7fca0dbeca97582b6437e1d22ae352682373d0156f879e1dc3fdc83fd23,40d3a7fca0dbe,0.25322962,1.29,0,0.03
6,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,6,2e1b1493963e13113b2f5d15051ce56a6d39debac255e2a2d2d58a7ff8dc718b,2e1b1493963e1,0.18010071,1.18,0,0.03
7,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,7,a5c8c26d4876a04ed83456711e8729a5821a46bb0c3707c5e943a28b14b842cc,a5c8c26d4876a,0.64759460,2.75,0,0.03
8,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,8,5953624e1a925682cc81b00cc717f00038e855981992208211cddc13b7692066,5953624e1a925,0.34892859,1.48,0,0.03
9,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,9,c47352560f777bb4294d8d58e1f0a30761ae2300ce8dc06eba55439204aa38e0,c47352560f777,0.76738467,4.16,0,0.03
10,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,10,4216ce1bfe0aa1f315afab5671da8a639a963ebc52578f0d66bf1e73bba1ac26,4216ce1bfe0aa,0.25816048,1.30,0,0.03
11,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,11,688beba1af9d9261e19108509ec53bc8fe2bb9aa2cc3f87b8f455195837f43b1,688beba1af9d9,0.40838502,1.63,0,0.03
12,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,12,48b32ad5b6435d0855f50b4f479ace754b590c964a6a8514d81bba9e828ba115,48b32ad5b6435,0.28398388,1.35,0,0.03
13,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,13,d34bdb330a282663f396e5836c0ed9492fd4b543d0a3647179ccc836b0a258bd,d34bdb330a282,0.82537622,5.55,0,0.03
14,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,14,2158f68d3e84725cd118c2941738a00f3e8608cd28920da6f5fe4fa80b590cd2,2158f68d3e847,0.13026372,1.11,0,0.03
15,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,15,0a60c1c8b7416c0a773c7c4aed264252ff1c62d655f445214308ee37745176f0,0a60c1c8b7416,0.04053889,1.01,0,0.03
16,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,16,6f77ff69e9b274c91d133122c07e8b0cb6c403a7ed53fc1f7c64c33191c08527,6f77ff69e9b27,0.43542477,1.71,0,0.03
